time,dirt
0,84
1,84
2,83
3,83
4,82
5,82
6,81
7,81
8,81
9,80
10,80
11,80
12,79
13,79
14,78
15,78
16,77
17,77
18,77
19,76
20,76
21,76
22,75
23,75
24,74
25,74
26,73
27,73
28,73
29,72
30,72
31,72
32,71
33,71
34,70
35,70
36,69
37,69
38,69
39,68
40,68
41,68
42,68
43,67
44,67
45,67
46,67
47,66
48,66
49,66
50,65
51,65
52,64
53,64
54,63
55,63
56,63
57,62
58,62
59,62
60,61
61,61
62,60
63,60
64,59
65,59
66,59
67,58
68,58
69,58
70,57
71,57
72,56
73,56
74,55
75,55
76,55
77,54
78,54
79,54
80,53
81,53
82,52
83,52
84,51
85,51
86,51
87,51
88,51
89,51
90,51
91,51
92,51
93,50
94,50
95,50
96,49
97,49
98,49
99,49
100,49
101,49
102,49
103,49
104,49
105,49
106,49
107,49
108,49
109,48
110,48
111,48
112,48
113,48
114,48
115,48
116,48
117,48
118,48
119,48
120,48
121,48
122,48
123,48
124,47
125,47
126,46
127,46
128,45
129,45
130,44
131,44
132,43
133,43
134,42
135,42
136,42
137,41
138,41
139,41
140,40
141,40
142,39
143,39
144,38
145,38
146,37
147,37
148,37
149,36
150,36
151,36
152,35
153,35
154,34
155,34
156,33
157,33
158,32
159,32
160,32
161,32
162,32
163,32
164,32
165,32
166,31
167,31
168,30
169,30
170,30
171,29
172,29
173,29
174,28
175,28
176,28
177,28
178,28
179,28
180,28
181,28
182,28
183,28
184,27
185,27
186,26
187,26
188,26
189,25
190,25
191,25
192,24
193,24
194,24
195,24
196,24
197,24
198,24
199,24
200,24
201,24
202,24
203,24
204,24
205,24
206,24
207,24
208,24
209,24
210,24
211,24
212,24
213,24
214,24
215,24
216,24
217,24
218,24
219,24
220,24
221,24
222,24
223,24
224,24
225,24
226,24
227,24
228,24
229,24
230,24
231,24
232,24
233,24
234,24
235,24
236,24
237,24
238,24
239,24
240,24
241,24
242,24
243,24
244,24
245,24
246,24
247,24
248,24
249,24
250,24
251,24
252,24
253,24
254,24
255,24
256,24
257,24
258,24
259,24
260,24
261,24
262,24
263,24
