time,dirt
0,99
1,99
2,98
3,98
4,97
5,97
6,97
7,96
8,96
9,95
10,95
11,94
12,94
13,93
14,93
15,92
16,92
17,92
18,91
19,91
20,90
21,90
22,90
23,89
24,89
25,88
26,88
27,87
28,87
29,87
30,87
31,86
32,86
33,86
34,85
35,85
36,84
37,84
38,83
39,83
40,82
41,82
42,81
43,81
44,81
45,81
46,81
47,80
48,80
49,79
50,79
51,78
52,78
53,78
54,77
55,77
56,76
57,76
58,75
59,75
60,74
61,74
62,74
63,73
64,73
65,72
66,72
67,72
68,72
69,71
70,71
71,71
72,71
73,71
74,71
75,71
76,70
77,70
78,69
79,69
80,69
81,68
82,68
83,67
84,67
85,66
86,66
87,65
88,65
89,64
90,64
91,64
92,63
93,63
94,63
95,62
96,62
97,62
98,62
99,61
100,61
101,60
102,60
103,59
104,59
105,58
106,58
107,58
108,57
109,57
110,56
111,56
112,56
113,55
114,55
115,54
116,54
117,53
118,53
119,53
120,53
121,53
122,53
123,53
124,53
125,53
126,53
127,53
128,53
129,53
130,52
131,52
132,51
133,51
134,50
135,50
136,49
137,49
138,49
139,49
140,49
141,49
142,49
143,49
144,49
145,48
146,48
147,47
148,47
149,47
150,47
151,47
152,47
153,47
154,47
155,47
156,47
157,47
158,47
159,47
160,47
161,47
162,47
163,47
164,46
165,46
166,45
167,45
168,44
169,44
170,43
171,43
172,43
173,42
174,42
175,41
176,41
177,41
178,41
179,41
180,41
181,41
182,41
183,41
184,41
185,41
186,41
187,41
188,41
189,40
190,40
191,39
192,39
193,39
194,39
195,39
196,39
197,39
198,39
199,39
200,39
201,39
202,39
203,39
204,38
205,38
206,38
207,38
208,38
209,38
210,38
211,38
212,38
213,38
214,38
215,38
216,38
217,38
218,38
219,38
220,38
221,38
222,38
223,38
224,38
225,38
226,38
227,38
228,38
229,38
230,38
231,38
232,38
233,38
234,38
235,38
236,38
237,38
238,38
239,38
240,38
241,38
242,38
243,38
244,38
245,38
246,38
247,37
248,37
249,36
250,36
251,35
252,35
253,34
254,34
255,34
256,34
257,34
258,34
259,34
260,34
261,34
262,34
263,34
264,34
265,34
266,34
267,34
268,34
269,34
270,34
271,34
272,34
273,34
274,34
275,34
276,34
277,34
278,34
279,34
280,34
281,34
282,34
283,33
284,33
285,33
286,32
287,32
288,31
289,31
290,31
291,31
292,31
293,31
294,31
295,31
296,31
297,31
298,31
299,31
300,31
301,31
302,31
303,31
304,31
305,31
306,31
307,31
308,31
309,30
310,30
311,29
312,29
313,29
314,28
315,28
316,28
317,28
318,28
319,28
320,28
321,28
322,28
323,28
324,28
325,28
326,27
327,27
328,26
329,26
330,25
331,25
332,24
333,24
334,24
335,23
336,23
337,23
338,23
339,23
340,23
341,23
342,23
343,23
344,23
345,23
346,23
347,23
348,23
349,23
350,23
351,22
352,22
353,21
354,21
355,20
356,20
357,19
358,19
359,19
360,19
361,19
362,19
363,19
364,19
365,19
366,19
367,19
368,19
369,19
370,19
371,19
372,19
373,19
374,19
375,19
376,19
377,19
378,18
379,18
380,18
381,18
382,18
383,18
384,18
385,18
386,18
387,18
388,18
389,18
390,18
391,18
392,18
393,18
